option_id,security_name,S0,K,T,r,sigma,option_type,n_steps,mc_n_sims,mc_n_steps,random_number_generator,mc_price_with_cv,mc_price_no_cv,mc_price_difference
66,G9K6C 76.6 Comdty,73.16999816894531,76.6,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.9958145598209525,3.1856502315098805,-0.189835671688928
67,G9K6C 78 Comdty,73.16999816894531,78.0,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.509426568071314,2.692089332021528,-0.18266276395021386
68,G9K6C 78.27 Comdty,73.16999816894531,78.27,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.4144514530718606,2.4884975732579195,-0.07404612018605894
69,G9K6C 80 Comdty,73.16999816894531,80.0,1.3342465753424655,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,1.9158639464057208,1.9969598802807607,-0.08109593387503988
70,G9K7C 70 Comdty,73.16999816894531,70.0,2.331506849315069,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.611100556628154,8.37675519317134,-0.7656546365431858
71,G9M6C 70.85 Comdty,73.16999816894531,70.85,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.892738180918915,6.2126466921671035,-0.31990851124818853
72,G9M6C 71.85 Comdty,73.16999816894531,71.85,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.32977534869701,5.56727487333312,-0.23749952463611024
73,G9M6C 72.2 Comdty,73.16999816894531,72.2,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.142712090684403,5.493733167328227,-0.351021076643824
74,G9M6C 75 Comdty,73.16999816894531,75.0,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.7964569302045694,3.95853487464039,-0.1620779444358207
75,G9M6C 76.6 Comdty,73.16999816894531,76.6,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.1506975063772695,3.3754593174564653,-0.2247618110791958
76,G9M6C 76.77 Comdty,73.16999816894531,76.77,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.0866472652954298,3.347874453850455,-0.26122718855502525
77,G9M6C 77 Comdty,73.16999816894531,77.0,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.0044302102418197,3.2492009248478007,-0.244770714605981
78,G9M6C 78.27 Comdty,73.16999816894531,78.27,1.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.5635843974159935,2.843324770877679,-0.27974037346168545
79,G9M7C 70 Comdty,73.16999816894531,70.0,2.421917808219178,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.7060308319954025,8.708437912763683,-1.0024070807682808
80,G9N6C 69.5 Comdty,73.16999816894531,69.5,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.828004291293909,7.350337070565586,-0.522332779271677
81,G9N6C 70 Comdty,73.16999816894531,70.0,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.525927197785071,6.990032675546073,-0.4641054777610014
82,G9N6C 71.1 Comdty,73.16999816894531,71.1,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.882058972500127,6.34291531424416,-0.4608563417440328
83,G9N6C 72.75 Comdty,73.16999816894531,72.75,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.99485710151401,5.350485416385937,-0.35562831487192703
84,G9N6C 78 Comdty,73.16999816894531,78.0,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.7925431281784765,3.0114110786833184,-0.21886795050484187
85,G9N6C 78.45 Comdty,73.16999816894531,78.45,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.6467481810093934,2.8942300846895206,-0.24748190368012724
86,G9N6C 80 Comdty,73.16999816894531,80.0,1.5068493150684932,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.187433005096204,2.187383860658889,4.914443731474094e-05
87,G9N7C 70 Comdty,73.16999816894531,70.0,2.504109589041096,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,7.787382002445417,8.783352614991715,-0.9959706125462979
88,G9Q6C 70 Comdty,73.16999816894531,70.0,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.652020968903539,7.150094477998105,-0.49807350909456627
89,G9Q6C 71.07 Comdty,73.16999816894531,71.07,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,6.031469697222399,6.559023735137236,-0.5275540379148369
90,G9Q6C 71.85 Comdty,73.16999816894531,71.85,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.605716181631003,5.969925641063354,-0.3642094594323515
91,G9Q6C 72.2 Comdty,73.16999816894531,72.2,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.418222771965473,5.778250966153281,-0.36002819418780785
92,G9Q6C 72.67 Comdty,73.16999816894531,72.67,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,5.178555888740109,5.567890449605514,-0.38933456086540463
93,G9Q6C 74.4 Comdty,73.16999816894531,74.4,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,4.348730523207857,4.7609974885577655,-0.41226696534990825
94,G9Q6C 76.55 Comdty,73.16999816894531,76.55,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.4516027183498528,3.748118040149465,-0.29651532179961215
95,G9Q6C 76.6 Comdty,73.16999816894531,76.6,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.434827523554075,3.7490902630902934,-0.3142627395362183
96,G9Q6C 77 Comdty,73.16999816894531,77.0,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,3.2829577014396487,3.7045219090333266,-0.42156420759367785
97,G9Q6C 78 Comdty,73.16999816894531,78.0,1.5917808219178082,0.0452799987792968,0.1934,arithmetic,252,10000,252,MCPricer,2.9313986130559244,3.0607831065276883,-0.12938449347176384
